unit,cycle,anomaly_score,top_features
14,0,16.10677310428059,"['sensor10', 'sensor14', 'sensor9']"
14,0,16.446972115574198,"['sensor10', 'sensor14', 'sensor9']"
14,0,15.579630379810762,"['sensor10', 'sensor14', 'sensor9']"
14,0,15.752081251827956,"['sensor10', 'sensor14', 'sensor9']"
14,0,15.771902657301577,"['sensor10', 'sensor14', 'sensor9']"
14,0,16.10519529852524,"['sensor10', 'sensor14', 'sensor9']"
14,0,14.048920753009915,"['sensor10', 'sensor14', 'sensor9']"
14,0,14.693861875872779,"['sensor10', 'sensor14', 'sensor9']"
14,0,15.029261948565289,"['sensor10', 'sensor14', 'sensor9']"
14,0,15.440653176620561,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.25630200387579,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.471309965190553,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.73114022121661,"['sensor10', 'sensor14', 'sensor9']"
14,1,16.180931488139716,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.866740547915116,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.508481854531846,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.28995918616636,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.819822566205165,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.711515629847543,"['sensor10', 'sensor14', 'sensor9']"
14,1,15.87847261254166,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.04958437484226,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.64024828737369,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.40749302127313,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.077615953851485,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.00485729101111,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.482715416047473,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.33566196297449,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.012864773252513,"['sensor10', 'sensor14', 'sensor9']"
14,2,16.04857192121107,"['sensor10', 'sensor14', 'sensor9']"
14,2,15.958035745118764,"['sensor10', 'sensor14', 'sensor9']"
14,3,23.315734457890287,"['sensor10', 'sensor14', 'sensor9']"
14,3,23.065482300014885,"['sensor10', 'sensor14', 'sensor9']"
14,3,23.33664717531921,"['sensor10', 'sensor14', 'sensor9']"
14,3,23.365316267863623,"['sensor10', 'sensor14', 'sensor9']"
14,3,23.9827298407298,"['sensor10', 'sensor14', 'sensor9']"
14,3,24.191814826921846,"['sensor10', 'sensor14', 'sensor9']"
14,3,24.13471471157913,"['sensor10', 'sensor14', 'sensor9']"
14,3,24.15189003730221,"['sensor10', 'sensor14', 'sensor9']"
14,3,24.995742671066488,"['sensor10', 'sensor14', 'sensor9']"
14,3,25.283667977916256,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.79661898148992,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.578250848598326,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.020276336194964,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.29704669114283,"['sensor10', 'sensor14', 'sensor9']"
14,4,23.935656540790028,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.038516462444065,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.373481303478435,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.64796829877906,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.811469767177964,"['sensor10', 'sensor14', 'sensor9']"
14,4,24.95091410589297,"['sensor10', 'sensor14', 'sensor9']"
